usec,velocity,heading
7636949,-0.250000,0.621432
7646991,-0.250000,0.589807
7656992,-0.250000,0.558182
7666992,-0.250000,0.528138
7677008,-0.250000,0.493350
7687009,-0.250000,0.461725
7697015,-0.250000,0.428519
7707051,-0.250000,0.393732
7717051,-0.250000,0.360525
7727055,-0.250000,0.324157
7737098,-0.250000,0.289369
7747098,-0.250000,0.253000
7757098,-0.250000,0.218213
7767098,-0.250000,0.181844
7777098,-0.250000,0.147056
7787098,-0.250000,0.110688
7797098,-0.250000,0.074319
7807098,-0.250000,0.037950
7817098,-0.250000,0.001581
7827112,-0.250000,-0.037950
7837112,-0.250000,-0.072738
7847113,-0.250000,-0.110688
7857143,-0.250000,-0.147056
7867143,-0.250000,-0.185006
7877143,-0.250000,-0.222957
7887143,-0.250000,-0.259325
7897143,-0.250000,-0.297275
7907150,-0.250000,-0.336807
7917151,-0.250000,-0.373175
7927152,-0.250000,-0.411125
7937154,-0.250000,-0.450657
7947162,-0.250000,-0.490188
7957163,-0.250000,-0.528138
7967192,-0.250000,-0.567669
7977192,-0.250000,-0.605619
7987194,-0.250000,-0.643569
7997205,-0.250000,-0.683101
8007212,-0.250000,-0.724213
8017212,-0.250000,-0.762163
8027213,-0.250000,-0.800113
8037214,0.250000,-0.839645
8047214,0.250000,-0.879176
8057214,0.250000,-0.909220
8067214,0.250000,-0.925032
8077215,0.250000,-0.937682
8087237,0.250000,-0.948751
8097238,0.250000,-0.956657
8107240,0.250000,-0.958238
8117240,0.250000,-0.959820
8127241,0.250000,-0.959820
8137242,0.250000,-0.959820
8147242,0.250000,-0.959820
8157242,0.250000,-0.959820
8167243,0.250000,-0.956657
8177244,0.250000,-0.947170
8187245,0.250000,-0.940845
8197245,0.250000,-0.931357
8207249,0.250000,-0.921870
8217249,0.250000,-0.909220
8227255,0.250000,-0.893407
8237256,0.250000,-0.877595
8247295,0.250000,-0.857038
8257295,0.250000,-0.836482
8267295,0.250000,-0.815926
8277305,0.250000,-0.792207
8287306,0.250000,-0.766907
8297306,0.250000,-0.741607
8307344,0.250000,-0.714726
8317344,0.250000,-0.686263
8327345,0.250000,-0.657801
8337353,0.250000,-0.626176
8347355,0.250000,-0.596132
8357355,0.250000,-0.566088
8367396,0.250000,-0.534463
8377397,0.250000,-0.499676
8387397,0.250000,-0.468050
8397434,0.250000,-0.434844
8407434,0.250000,-0.401638
8417440,0.250000,-0.368432
8427454,0.250000,-0.333644
8437454,0.250000,-0.297275
8447454,0.250000,-0.262488
8457602,0.250000,-0.227700
8467609,0.250000,-0.191331
8477609,0.250000,-0.154963
8487609,0.250000,-0.118594
8497609,0.250000,-0.080644
8507609,0.250000,-0.045856
8517609,0.250000,-0.007906
8527609,0.250000,0.031625
8537609,0.250000,0.069575
8547610,0.250000,0.104363
8557611,0.250000,0.143894
8567611,0.250000,0.183425
8577611,0.250000,0.221375
8587612,0.250000,0.256163
8597612,0.250000,0.294113
8607657,0.250000,0.333644
8617657,0.250000,0.371594
8627657,0.250000,0.409544
8637699,0.250000,0.445913
8647706,0.250000,0.485444
8657708,0.250000,0.524975
8667712,0.250000,0.562926
8677713,0.250000,0.599294
8687714,0.250000,0.640407
8697742,0.250000,0.678357
8707742,0.250000,0.717888
8717742,0.250000,0.755838
8727797,0.250000,0.795370
8737798,-0.250000,0.833320
8747799,-0.250000,0.871270
8757811,-0.250000,0.902895
8767811,-0.250000,0.918707
8777812,-0.250000,0.931357
8787843,-0.250000,0.942426
8797843,-0.250000,0.948751
8807849,-0.250000,0.951913
8817857,-0.250000,0.951913
8827858,-0.250000,0.951913
8837859,-0.250000,0.948751
8847899,-0.250000,0.947170
8857900,-0.250000,0.944007
8867916,-0.250000,0.937682
8877935,-0.250000,0.926613
8887935,-0.250000,0.918707
8897940,-0.250000,0.906057
8907957,-0.250000,0.891826
8917957,-0.250000,0.876013
8927958,-0.250000,0.857038
8937990,-0.250000,0.838063
8947992,-0.250000,0.817507
8958003,-0.250000,0.795370
8968006,-0.250000,0.770069
8978009,-0.250000,0.746351
8988015,-0.250000,0.719469
8998048,-0.250000,0.694169
9008054,-0.250000,0.664126
9018054,-0.250000,0.635663
9028096,-0.250000,0.604038
9038097,-0.250000,0.573994
9048097,-0.250000,0.543950
