usec,speed,distance
8494369,0.250000,-90.436241
8504396,0.250000,-89.279625
8514396,0.250000,-88.123009
8524400,0.250000,-86.914680
8534401,0.250000,-85.754684
8544402,0.250000,-84.594688
8554402,0.250000,-83.389885
8564402,0.250000,-82.181557
8574403,0.250000,-80.976753
8584404,0.250000,-79.768425
8594411,0.250000,-78.608429
8604412,0.250000,-77.351768
8614412,0.250000,-76.139915
8624412,0.250000,-74.976540
8634412,0.250000,-73.768211
8644413,0.250000,-72.556358
8654413,0.250000,-71.348030
8664414,0.250000,-70.136177
8674415,0.250000,-68.927849
8684415,0.250000,-67.715996
8694415,0.250000,-66.552620
8704415,0.250000,-65.389244
8714416,0.250000,-64.128922
8724416,0.250000,-62.965546
8734417,0.250000,-61.802170
8744417,0.250000,-60.593838
8754417,0.250000,-59.433842
8764418,0.250000,-58.273846
8774418,0.250000,-57.113850
8784418,0.250000,-55.857185
8794419,0.250000,-54.697189
8804419,0.250000,-53.537193
8814420,0.250000,-52.332386
8824443,0.250000,-51.124054
8834444,0.250000,-49.964054
8844444,0.250000,-48.804054
8854444,0.250000,-47.644054
8864444,0.250000,-46.439247
8874445,0.250000,-45.230915
8884445,0.250000,-44.026108
8894446,0.250000,-42.914444
8904446,0.250000,-41.754444
8914446,0.250000,-40.549637
8924446,0.250000,-39.341305
8934446,0.250000,-38.091969
8944446,0.250000,-36.887157
8954453,0.250000,-35.678825
8964459,0.250000,-34.474014
8974460,0.250000,-33.221012
8984464,0.250000,-32.064396
8994465,0.250000,-30.856064
9004469,0.250000,-29.651255
9014470,0.250000,-28.449970
9024470,0.250000,-27.341545
9034470,0.250000,-26.088543
9044470,0.250000,-24.880209
9054497,0.250000,-23.720209
9064497,0.250000,-22.515398
9074501,0.250000,-21.314114
9084502,0.250000,-20.109303
9094502,0.250000,-18.952684
9104503,0.250000,-17.744350
9114503,0.250000,-16.584351
9124503,0.250000,-15.379539
9134510,0.250000,-14.178254
9144511,0.250000,-13.025021
9154512,0.250000,-11.820210
9164512,0.250000,-10.618924
9174512,0.250000,-9.465691
9184513,0.250000,-8.312457
9194519,0.250000,-7.107646
9204519,0.250000,-5.906360
9214542,0.250000,-4.753126
9224553,0.250000,-3.599892
9234553,0.250000,-2.395080
9244556,0.250000,-1.238461
9254557,0.250000,-0.081842
9264558,0.250000,1.074777
9274558,0.250000,2.327781
9284558,0.250000,3.529067
9294559,0.250000,4.682302
9304559,0.250000,5.842303
9314559,0.250000,7.047115
9324560,0.250000,8.203734
9334560,0.250000,9.360353
9344600,0.250000,10.613358
9354600,0.250000,11.769977
9364600,0.250000,12.926596
9374604,0.250000,14.134931
